unique_identifier, amount, statement_date, bankID
c6b90a8f-2f23-4c9c-ada6-e8dc22cc51be,-9918.74,'2024-08-19 03:44:36',5
b95c15eb-2064-4793-907f-e5416eedf4ad,4976.42,'2024-09-26 02:39:12',2
e6227f31-aafd-4570-b9f4-3f013a143fa6,-1846.88,'2025-03-04 06:48:52',1
ae815383-043a-4277-ac97-0e7147e22af2,7861.22,'2024-12-06 20:03:13',4
d12b4d15-507d-4f07-90e2-5cf04d842dbf,3285.11,'2025-03-17 00:26:17',1
234e49ff-b13f-4a41-b51a-d5c56a77084f,-2351.99,'2025-03-15 11:03:58',2
a4de95ae-78b1-49c0-ba2f-1d98f12070e8,-3649.77,'2025-05-15 16:37:24',4
27f44b6e-fd66-4745-851d-81b2b4d929b1,9021.45,'2024-10-09 21:40:20',3
6d17959f-1ebb-4116-be7e-02ab317d4c70,7347.86,'2024-08-28 00:16:40',5
00708dc7-2eec-40b7-bcd3-4f51a89e866f,-1097.61,'2024-07-28 19:25:50',2
e27a4a29-4fbe-46ff-be99-ce055d41ebff,3479.27,'2024-07-31 11:37:27',1
278b3acd-0fbb-4e0c-b6aa-2c10c797e19d,-8062.74,'2024-07-05 09:10:23',5
4143d846-a5a2-4479-b2a2-431be391f671,-1415.58,'2024-10-15 01:50:12',3
1bf00da7-fff8-4c79-80e8-abec674b651f,7012.03,'2025-05-26 02:47:04',1
12d859b6-88f8-4a31-8467-6261adc8eee3,4740.91,'2024-11-06 15:38:55',4
f4e88efd-1599-4bea-98ed-b606634fc99c,-5163.52,'2025-06-05 09:20:50',2
51773459-2c05-4d55-ba78-20c83555065a,6956.34,'2024-12-11 14:58:32',3
c39f4b97-37ab-4461-94fe-5cc75fd56e00,-9610.89,'2025-02-07 04:01:33',5
5ad6b00c-6551-459e-891b-144dc5d788a8,-4086.12,'2024-10-03 22:24:19',1
6011f1a1-ccff-42b1-99dc-670dad08e807,8549.37,'2025-04-06 10:15:47',2
1eed2bca-d6fc-4f75-9751-3cab61be02fc,-3793.99,'2024-12-26 02:40:22',4
8cc2294d-2287-42bb-a6cd-6815ebc07a37,5042.22,'2024-08-14 13:24:38',2
dc88ac54-5d77-4b62-b3eb-6e16a3a17f14,2396.15,'2024-06-27 16:28:02',3
3a3f5883-36e6-4b20-8f45-b2e9a43c78c1,-1267.34,'2025-05-04 18:02:12',1
9e2e7fa4-e3b2-4055-a688-4bb6e474a4e5,-7913.28,'2024-09-17 07:29:09',5
aaecfa9d-d2ff-4c0d-b94b-4b87e1d91ee4,5986.93,'2025-04-15 11:12:43',2
2d5dcf55-98a8-4864-85b4-31f7e9a4b0a9,-2741.55,'2025-01-20 03:55:17',4
26dc8815-d472-4ab4-a5c3-372d41708fc0,-4846.23,'2025-04-11 14:11:41',3
fb0cbe7a-cd07-4b58-bbe3-b7c1ab03799b,1550.00,'2025-02-19 21:01:06',2
ba82b258-4768-4c03-8cce-2b1665dc25b0,6607.65,'2024-11-13 06:13:17',5
1c83f2e6-6aa4-4db2-8266-d2e07eebd8c6,-1701.84,'2025-02-01 23:47:51',1
f2bbef97-3cc8-48f3-bd17-9c7e390b2c15,-8895.21,'2025-05-08 05:10:33',4
3126f5be-e413-4eb3-917e-78e1641d0efb,4012.74,'2024-11-21 18:03:59',3
ec37e6e8-cb74-49c6-9b4f-c45fbe226697,1172.92,'2025-03-02 07:59:36',2
d23f726c-9bde-48b2-95c1-25f724d40889,-6305.47,'2025-01-12 10:08:02',5
a2b228c5-dc1f-4f60-92d3-9b89cbf6f35a,2937.46,'2024-07-13 06:33:28',1
e13a142f-55ed-46d3-8461-f84b938e60e3,-1437.58,'2025-04-28 20:48:29',4
0d9be2c5-9e0f-4203-b382-7ff9dca951d4,-5350.66,'2025-05-23 14:16:58',2
c50870fb-4a80-4f79-b038-92d4b8eb9f5b,3178.21,'2024-09-02 08:58:11',3
5e10ec3c-fc11-4085-a9c5-45c85e6ff409,-4784.88,'2025-06-02 03:11:22',5
59c6c39e-84a0-4ac5-b3cd-3e71ec1f13ed,3120.00,'2024-12-13 00:39:19',4
69ec8992-4c12-4de5-b91a-d352c4a9b7a7,-1897.43,'2024-06-24 16:00:44',1
f682d762-df30-47f3-aeeb-e04f5d97bdfb,-9922.56,'2025-01-30 11:57:55',3
512e713e-f594-4e33-b801-52d97a774d85,7264.81,'2025-03-12 22:03:00',2
97e4382e-c30f-49e4-8716-7b2b7bc3dcb8,-2643.00,'2024-08-08 13:51:45',5
e4191a17-e9bc-4a2c-9207-027453769da6,1439.99,'2024-07-08 09:14:07',1
15a4c103-c899-46bc-83aa-ff0a3c4c55e8,2197.63,'2024-10-24 12:29:33',2
4b9736ef-8106-4a77-9ef7-cb9b99091c4f,-4931.70,'2024-11-29 19:20:02',4
