unique_identifier, amount, statement_date, bankID
c6b90a8f-2f23-4c9c-ada6-e8dc22cc51be,-9918.74,'2024-08-19 03:44:36',5
b95c15eb-2064-4793-907f-e5416eedf4ad,4976.42,'2024-09-26 02:39:12',2
e6227f31-aafd-4570-b9f4-3f013a143fa6,-1846.88,'2025-03-04 06:48:52',1
ae815383-043a-4277-ac97-0e7147e22af2,7861.22,'2024-12-06 20:03:13',4
d12b4d15-507d-4f07-90e2-5cf04d842dbf,3285.11,'2025-03-17 00:26:17',1
234e49ff-b13f-4a41-b51a-d5c56a77084f,-2351.99,'2025-03-15 11:03:58',2
a4de95ae-78b1-49c0-ba2f-1d98f12070e8,-3649.77,'2025-05-15 16:37:24',4
27f44b6e-fd66-4745-851d-81b2b4d929b1,9021.45,'2024-10-09 21:40:20',3
6d17959f-1ebb-4116-be7e-02ab317d4c70,7347.86,'2024-08-28 00:16:40',5
00708dc7-2eec-40b7-bcd3-4f51a89e866f,-1097.61,'2024-07-28 19:25:50',2
e27a4a29-4fbe-46ff-be99-ce055d41ebff,3479.27,'2024-07-31 11:37:27',1
278b3acd-0fbb-4e0c-b6aa-2c10c797e19d,-8062.74,'2024-07-05 09:10:23',5
4143d846-a5a2-4479-b2a2-431be391f671,-1415.58,'2024-10-15 01:50:12',3
1bf00da7-fff8-4c79-80e8-abec674b651f,7012.03,'2025-05-26 02:47:04',1
12d859b6-88f8-4a31-8467-6261adc8eee3,4740.91,'2024-11-06 15:38:55',4
f4e88efd-1599-4bea-98ed-b606634fc99c,-5163.52,'2025-06-05 09:20:50',2
51773459-2c05-4d55-ba78-20c83555065a,6956.34,'2024-12-11 14:58:32',3
c39f4b97-37ab-4461-94fe-5cc75fd56e00,-9610.89,'2025-02-07 04:01:33',5
5ad6b00c-6551-459e-891b-144dc5d788a8,-4086.12,'2024-10-03 22:24:19',1
6011f1a1-ccff-42b1-99dc-670dad08e807,8549.37,'2025-04-06 10:15:47',2
1eed2bca-d6fc-4f75-9751-3cab61be02fc,-3793.99,'2024-12-26 02:40:22',4
8cc2294d-2287-42bb-a6cd-6815ebc07a37,5042.22,'2024-08-14 13:24:38',2
dc88ac54-5d77-4b62-b3eb-6e16a3a17f14,2396.15,'2024-06-27 16:28:02',3
3a3f5883-36e6-4b20-8f45-b2e9a43c78c1,-1267.34,'2025-05-04 18:02:12',1
